"N1,C,10","N2,C,15","N3,C,17","N4,C,17","N5,C,17","N6,C,17","N7,C,17","N8,C,18","N9,C,17",,,"N10,C,30","N11,C,17","N12,C,18","N13,C,18","N14,C,14","N15,C,15","N16,C,19",,,,,,,"N17,C,10","N18,C,9",,,,"N21,C,1","N22,C,16","N23,C,16",,,,,,,
"fid,N,20,0","shore_id,N,20,0","R_hab,N,24,15","R_wind,N,24,15","R_wave,N,24,15","R_surge,N,24,15","R_relief,N,24,15","R_geomorph,N,24,15",R_noSLR,R_SLR5,new_gmorph,"population_100m_radius,N,24,15","exposure,N,24,15","habitat_ro,N,24,15","exposure_n,N,24,15","EXP_NOSL,N,6,4","EXP_SL5_S,N,5,3",coastline legth (m),no habitat,exp_noSLR_newgmorph,diff,no habitat no slr,no hab_slr5,,,high_vuln_coastline,high_vuln pop,,,,,,,plot,,,,perc increase coast,perc increase pop
1,0,1.159945055,5,5,4,3,3,1,5,1,2762.481225,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,3.4335,no_slr,28.4,10481.05352,,,Current,2351.328189,28.4,,no_slr,28.4,10481.05352,,104.5774648,64.61979333
2,1,1.159945055,5,5,4,1,3,1,5,1,2778.870982,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,slr5,66,21680.09396,,,Current No Habitat,6491.208127,66,,no_slr_nohab,58.1,17253.88865,,13.59724613,25.65337817
3,2,1.159945055,5,5,4,3,3,1,5,1,0,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,,no_slr_nohab,58.1,17253.88865,,,SLR,,,,slr5,66,21680.09396,7226.697985,20.75757576,17.60104773
4,3,1.159945055,5,5,4,1,3,1,5,1,0,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,slr5_nohab,79.7,25496.01764,,,SLR No Habitat,,,,slr5_nohab,79.7,25496.01764,8498.672547,,
5,4,1.159945055,5,5,4,1,3,1,5,1,0,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
6,5,1.159945055,5,5,4,3,3,1,5,1,0,2.699230606,0.62650333,3.325733936,2.6992,3.397,100,5,2.307171139,0.392059467,3.325733936,4.185432668,,,,,,,,,,,,,,,,
7,6,1.159945055,5,5,4,2,3,1,5,1,0,2.547323461,0.591245011,3.138568472,2.5473,3.206,100,5,2.177328294,0.369995167,3.138568472,3.949885129,,,,,,,,,,,,,,,,
8,7,1.159945055,5,5,4,4,3,1,5,1,0,2.812473121,0.652787417,3.465260538,2.8125,3.539,100,5,2.403965337,0.408507784,3.465260538,4.361026751,,,,,,,,,,,,,,,,
9,8,1.159945055,5,5,4,1,3,1,5,1,0,2.307171139,0.535504598,2.842675737,2.3072,2.904,100,5,1.972057761,0.335113378,2.842675737,3.577504432,,,,,,,,,,,,,,,,
